antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'low_resting_hr', 'high_strain', 'vegetarian'})",frozenset({'high_calories_burned'}),0.2060990099009901,0.35104950495049503,0.11968316831683168,0.5807071483474251,1.6542030117071846,1.0,0.04733221292030193,1.5477261119329166,0.4981468499354199,0.2735831975375702,0.35389085168878825,0.46081837561775585
"frozenset({'high_steps', 'low_resting_hr'})",frozenset({'high_calories_burned'}),0.28427722772277225,0.35104950495049503,0.16403960396039605,0.5770409584842575,1.6437594992923628,1.0,0.0642442238996177,1.5343104919187573,0.5471930081059957,0.3480672268907564,0.3482414379181925,0.5221621759930313
"frozenset({'low_resting_hr', 'high_calories_burned', 'vegetarian'})",frozenset({'high_steps'}),0.23904950495049504,0.35097029702970295,0.13671287128712872,0.5719019218025183,1.629488098117083,1.0,0.05281359552985003,1.5160771235018242,0.5076681605641696,0.3015900751354185,0.34040294883534217,0.4807151224900653
"frozenset({'low_resting_hr', 'high_strain'})",frozenset({'high_calories_burned'}),0.25473267326732674,0.35104950495049503,0.14558415841584157,0.5715174129353233,1.6280251214594894,1.0,0.05616037957063033,1.5145317794479012,0.5176113995455698,0.31635111876075733,0.3397299326630608,0.4931143021355317
"frozenset({'low_resting_hr', 'high_calories_burned'})",frozenset({'high_steps'}),0.29338613861386137,0.35097029702970295,0.16403960396039605,0.5591252699784017,1.5930843000400186,1.0,0.06106978374669152,1.4721408571965586,0.5268603516970224,0.3415237467018471,0.32071717518639514,0.5132570606267545
"frozenset({'vegetarian', 'high_protein_intake'})",frozenset({'high_fat_intake'}),0.22273267326732674,0.3695841584158416,0.1234059405940594,0.5540540540540541,1.4991282538432131,1.0,0.041087472992843835,1.4136597659765977,0.42835412456845445,0.2631756756756757,0.2926162121412781,0.44397944880156626
"frozenset({'high_sedentary', 'high_carb_intake'})","frozenset({'low_resting_hr', 'vegetarian'})",0.13005940594059406,0.692039603960396,0.11413861386138614,0.8775883069427527,1.2681186191086475,1.0,0.024132354082933058,2.5157759716270127,0.24303985536160463,0.16122174983217724,0.6025083269424519,0.5212595306031149
"frozenset({'low_resting_hr', 'high_carb_intake'})",frozenset({'vegetarian'}),0.294019801980198,0.8182178217821782,0.294019801980198,1.0,1.2221684414327203,1.0,0.05344756004313303,inf,0.25748906092224844,0.3593417231364957,1.0,0.6796708615682479
"frozenset({'high_carb_intake', 'high_strain'})",frozenset({'vegetarian'}),0.10574257425742574,0.8182178217821782,0.10574257425742574,1.0,1.2221684414327203,1.0,0.01922211547887462,inf,0.2032772364924712,0.1292352371732817,1.0,0.5646176185866408
frozenset({'high_carb_intake'}),frozenset({'vegetarian'}),0.356990099009901,0.8182178217821782,0.356990099009901,1.0,1.2221684414327203,1.0,0.0648944378002157,inf,0.28270509977827063,0.4363020329138432,1.0,0.7181510164569216
"frozenset({'high_carb_intake', 'high_recovery_sleep'})",frozenset({'vegetarian'}),0.11271287128712872,0.8182178217821782,0.11271287128712872,1.0,1.2221684414327203,1.0,0.02048919125575925,inf,0.20487412961971088,0.1377541142303969,1.0,0.5688770571151984
"frozenset({'high_sedentary', 'high_carb_intake'})",frozenset({'vegetarian'}),0.13005940594059406,0.8182178217821782,0.13005940594059406,1.0,1.2221684414327203,1.0,0.0236424821095971,inf,0.20895930073750343,0.15895450145208134,1.0,0.5794772507260406
"frozenset({'high_steps', 'high_carb_intake'})",frozenset({'vegetarian'}),0.12871287128712872,0.8182178217821782,0.12871287128712872,1.0,1.2221684414327203,1.0,0.023397706107244398,inf,0.20863636363636373,0.15730880929332045,1.0,0.5786544046466602
"frozenset({'high_carb_intake', 'high_calories_burned'})",frozenset({'vegetarian'}),0.11786138613861386,0.8182178217821782,0.11786138613861386,1.0,1.2221684414327203,1.0,0.02142509950004902,inf,0.20606985723264798,0.14404646660212972,1.0,0.5720232333010649
"frozenset({'high_sedentary', 'low_resting_hr', 'high_carb_intake'})",frozenset({'vegetarian'}),0.11413861386138614,0.8182178217821782,0.11413861386138614,1.0,1.2221684414327203,1.0,0.02074836584648565,inf,0.2052038626609443,0.13949661181026138,1.0,0.5697483059051307
"frozenset({'high_steps', 'low_resting_hr', 'high_carb_intake'})",frozenset({'vegetarian'}),0.10091089108910892,0.8182178217821782,0.10091089108910892,1.0,1.2221684414327203,1.0,0.018343801588079606,inf,0.2021848295304379,0.12333010648596322,1.0,0.5616650532429817
frozenset({'high_carb_intake'}),"frozenset({'low_resting_hr', 'vegetarian'})",0.356990099009901,0.692039603960396,0.294019801980198,0.8236077213223874,1.1901164566436009,1.0,0.04696851524360357,1.7458836540257798,0.24843489165201213,0.3894250944187998,0.42722414652652796,0.6242337565064495
"frozenset({'high_steps', 'high_carb_intake'})","frozenset({'low_resting_hr', 'vegetarian'})",0.12871287128712872,0.692039603960396,0.10091089108910892,0.784,1.1328831406661326,1.0,0.011836486618958933,1.4257425742574261,0.1346243042671615,0.1401848591549296,0.2986111111111113,0.46490832093395906
